xt,yt,xf,yf
0.000445,0.3396974311063552,1483.456954746229,(6.499703277335776e-07-0.00010243382754918333j)
0.00045,0.3099260113693229,1500.125010417535,(6.243448157883679e-07-9.554198027158047e-05j)
0.000455,0.27983998594291953,1516.7930660888408,(6.003998105497387e-07-8.930619690840549e-05j)
0.00046,0.24946953992241303,1533.4611217601469,(5.779821704186089e-07-8.364627534998502e-05j)
0.000465,0.21884524910261458,1550.1291774314527,(5.569535694611386e-07-7.849388023019033e-05j)
0.00047,0.1879980430801415,1566.7972331027586,(5.371923366049076e-07-7.379049477084086e-05j)
0.000475,0.15695916621808917,1583.4652887740647,(5.185910488096232e-07-6.948577868981154e-05j)
0.00048,0.12576013664221847,1600.1333444453705,(5.010536453994286e-07-6.553623809899117e-05j)
0.000485,0.09443270347452754,1616.8014001166764,(4.844942555538557e-07-6.190413737021202e-05j)
0.00049,0.0630088025433368,1633.4694557879825,(4.6883564436526484e-07-5.855661083259773e-05j)
0.000495,0.03152051083795122,1650.1375114592884,(4.5400902941534636e-07-5.5464928071966326e-05j)
0.0005,1.228933062944369e-16,1666.8055671305942,(4.399519249358704e-07-5.260388612181201e-05j)
0.000505,-0.03152051083795053,1683.4736228019003,(4.2660812352146323e-07-4.9951301976699034e-05j)
0.00051,-0.06300880254333656,1700.1416784732062,(4.1392616860976136e-07-4.748759027956014e-05j)
0.000515,-0.09443270347452729,1716.809734144512,(4.0186057759760287e-07-4.519540728981493e-05j)
0.00052,-0.12576013664221736,1733.4777898158181,(3.9036828674085085e-07-4.3059348165651436e-05j)
0.000525,-0.1569591662180885,1750.145845487124,(3.7941150579034414e-07-4.10656965111024e-05j)
0.00053,-0.18799804308014081,1766.8139011584299,(3.689549748192307e-07-3.92022038165068e-05j)
0.000535,-0.21884524910261388,1783.481956829736,(3.589662768018097e-07-3.745790803898895e-05j)
0.00054,-0.24946953992241278,1800.1500125010418,(3.4941621362142206e-07-3.5822972668929256e-05j)
0.000545,-0.27983998594291887,1816.8180681723477,(3.4027763898105456e-07-3.428855342915575e-05j)
0.00055,-0.30992601136932224,1833.4861238436538,(3.3152552881074657e-07-3.284667827408616e-05j)
0.000555,-0.3396974311063549,1850.1541795149597,(3.231370966008943e-07-3.149014934294629e-05j)
0.00056,-0.369124485388773,1866.8222351862655,(3.150905994312811e-07-3.02124505100155e-05j)
0.000565,-0.39817787205615307,1883.4902908575716,(3.073672693377273e-07-2.9007676498803633e-05j)
0.00057,-0.4268287764256384,1900.1583465288775,(2.999481857792528e-07-2.7870461544644964e-05j)
0.000575,-0.45504889875826005,1916.8264022001836,(2.928163957984391e-07-2.6795922548344263e-05j)
0.00058,-0.48281047935537247,1933.4944578714894,(2.859574125847232e-07-2.577960968336245e-05j)
0.000585,-0.5100863213607109,1950.1625135427953,(2.7935501611607137e-07-2.481745929014189e-05j)
0.00059,-0.5368498113797484,1966.8305692141014,(2.729969038312103e-07-2.3905754717288985e-05j)
0.000595,-0.5630749380605734,1983.4986248854073,(2.6686975324042015e-07-2.30410922902814e-05j)
0.0006,-0.5887363088087678,2000.1666805567131,(2.6096230253794487e-07-2.2220349973975243e-05j)
0.000605,-0.6138091648321559,2016.8347362280192,(2.55263027853077e-07-2.1440660321960473e-05j)
0.00061,-0.6382693947292957,2033.502791899325,(2.49761881551179e-07-2.069938399997873e-05j)
