,ydata,freqs,yf_old,yf_filter
21,-0.83136,0.004199160167966407,(0.3688794195134093+0.17633565968828108j),(0.3688794195134093+0.17633565968828108j)
22,-0.61274,0.004399120175964807,(-0.28332564603316546-0.2708461736874085j),(-0.28332564603316546-0.2708461736874085j)
23,-0.40655,0.004599080183963207,(0.20546193173743008+0.14130443925518404j),(0.20546193173743008+0.14130443925518404j)
24,-0.18577,0.004799040191961607,(-0.19144840189860943-0.023028444890697407j),(-0.19144840189860943-0.023028444890697407j)
25,0.03076,0.004999000199960008,(0.13740306536661268-0.06355480753504603j),(0.13740306536661268-0.06355480753504603j)
26,0.24518,0.005198960207958408,(-0.21638140101669173+0.2372729074667516j),(-0.21638140101669173+0.2372729074667516j)
27,0.47131,0.005398920215956809,(0.17777695341164557-0.23869431651406886j),(0.17777695341164557-0.23869431651406886j)
28,0.69036,0.005598880223955209,(-0.023255640428700125+0.03196467126902225j),(-0.023255640428700125+0.03196467126902225j)
29,0.89656,0.005798840231953609,(-0.08290888798057316-0.03816424401942653j),(-0.08290888798057316-0.03816424401942653j)
30,1.11315,0.005998800239952009,(0.17026824990194905+0.12888653221049684j),(0.17026824990194905+0.12888653221049684j)
31,1.327,0.0061987602479504095,(-0.04278510241214062+0.11360772439645048j),(-0.04278510241214062+0.11360772439645048j)
32,1.52944,0.00639872025594881,(-0.04360939680366244-0.4842233620613029j),(-0.04360939680366244-0.4842233620613029j)
33,1.7295,0.0065986802639472104,(-0.18338462107227038+0.6112687192485979j),(-0.18338462107227038+0.6112687192485979j)
34,1.92357,0.006798640271945611,(0.34184277334571755-0.4707077536581964j),(0.34184277334571755-0.4707077536581964j)
35,2.1206,0.006998600279944011,(-0.24518852315770961+0.20593837637587847j),(-0.24518852315770961+0.20593837637587847j)
36,2.32131,0.007198560287942411,(0.02299004573035945-0.02814055654176648j),(0.02299004573035945-0.02814055654176648j)
37,2.50881,0.007398520295940811,(0.3098963594586058+0.19390121743424224j),(0.3098963594586058+0.19390121743424224j)
38,2.68786,0.007598480303939212,(-0.4950280062567115-0.48158856421344j),(-0.4950280062567115-0.48158856421344j)
39,2.86027,0.007798440311937612,(0.23259044125268016+0.3255948341614211j),(0.23259044125268016+0.3255948341614211j)
40,3.01759,0.007998400319936013,(0.14387397752137843+0.12721258627592802j),(0.14387397752137843+0.12721258627592802j)
41,3.16689,0.008198360327934412,(-0.23711982449585048-0.31985266579649957j),(-0.23711982449585048-0.31985266579649957j)
42,3.3097,0.008398320335932814,(0.27157287719761714+0.18788765817111508j),(0.27157287719761714+0.18788765817111508j)
43,3.44904,0.008598280343931213,(-0.4160802207460169+0.03762008342531472j),(-0.4160802207460169+0.03762008342531472j)
44,3.57907,0.008798240351929614,(0.37851637015623885-0.2554204290229706j),(0.37851637015623885-0.2554204290229706j)
45,3.69741,0.008998200359928014,(-0.1670231428245615+0.17311084454930342j),(-0.1670231428245615+0.17311084454930342j)
46,3.80476,0.009198160367926414,(0.11699237035033706+0.14351259377308745j),(0.11699237035033706+0.14351259377308745j)
47,3.90476,0.009398120375924815,(-0.21705249035197785-0.16870729003135418j),(-0.21705249035197785-0.16870729003135418j)
48,3.99183,0.009598080383923215,(0.23143429003602423-0.027884347921587005j),(0.23143429003602423-0.027884347921587005j)
49,4.07356,0.009798040391921616,(-0.15487555653276844+0.2097476090328989j),(-0.15487555653276844+0.2097476090328989j)
50,4.1511,0.009998000399920015,(0.04063151528392485-0.18445145326444698j),(0.04063151528392485-0.18445145326444698j)
51,4.21102,0.010197960407918417,(-0.014791934020576287-0.2369080538255548j),(-0.014791934020576287-0.2369080538255548j)
52,4.26488,0.010397920415916816,(0.08663621812611355+0.5335453245689893j),(0.08663621812611355+0.5335453245689893j)
53,4.3017,0.010597880423915216,(-0.15206140403838952-0.478672775186615j),(-0.15206140403838952-0.478672775186615j)
54,4.3347,0.010797840431913617,(0.25797873831207596+0.48105266027735627j),(0.25797873831207596+0.48105266027735627j)
55,4.343,0.010997800439912017,(-0.46364682325895823-0.4828524935419727j),(-0.46364682325895823-0.4828524935419727j)
